idx_text	page
Bestiary|Fiends|Babau	136
Bestiary|Fiends|Barghest	123
Bestiary|Fiends|Devourer	138
Bestiary|Fiends|Draegloth	141
Bestiary|Fiends|Maw demon	137
Bestiary|Fiends|Shoosuva	137
Bestiary|Fiends|Tanarukk	186
Bestiary|Fiends|Vargouille	195
Bestiary|Giants|Cloud giant smiling one	146
Bestiary|Giants|Fire giant dreadnought	147
Bestiary|Giants|Frost giant everlasting one	148
Bestiary|Giants|Mouth of Grolantor	149
Bestiary|Giants|Stone giant dreamwalker	150
Bestiary|Giants|Storm giant quintessent	151
Bestiary|Humanoids|Deep scion	135
Bestiary|Humanoids|Firenewt	142
Bestiary|Humanoids|Firenewt warlock of Imix	143
Bestiary|Humanoids|Flind	153
Bestiary|Humanoids|Gnoll flesh gnawer	154
Bestiary|Humanoids|Gnoll hunter	154
Bestiary|Humanoids|Grung	156
Bestiary|Humanoids|Grung elite warrior	157
Bestiary|Humanoids|Grung wildling	157
Bestiary|Humanoids|Hobgoblin devastator	161
Bestiary|Humanoids|Hobgoblin Iron Shadow	162
Bestiary|Humanoids|Kobold dragonshield	165
Bestiary|Humanoids|Kobold inventor	166
Bestiary|Humanoids|Kobold scale sorcerer	167
Bestiary|Humanoids|Nilbog	182
Bestiary|Humanoids|Orc Blade of Ilneval	183
Bestiary|Humanoids|Orc Claw of Luthic	183
Bestiary|Humanoids|Orc Hand of Yurtrus	184
Bestiary|Humanoids|Orc Nurtured One of Yurtrus	184
Bestiary|Humanoids|Orc Red Fang of Shargaas	185
Bestiary|Humanoids|Sea spawn	189
Bestiary|Humanoids|Xvart	200
Bestiary|Humanoids|Xvart warlock of Raxivort	200
Bestiary|Humanoids|Yuan-ti broodguard	203
Bestiary|Monstrosities|Banderhobb	122
Bestiary|Monstrosities|Catoblepas	129
Bestiary|Monstrosities|Cave fisher	130
Bestiary|Monstrosities|Chitine	131
Bestiary|Monstrosities|Choldrith	132
Bestiary|Monstrosities|Froghemoth	145
Bestiary|Monstrosities|Giant strider	143
Bestiary|Monstrosities|Girallon	152
Bestiary|Monstrosities|Leucrotta	169
Bestiary|Monstrosities|Shadow mastiff	190
Bestiary|Monstrosities|Tlincalli	193
Bestiary|Monstrosities|Trapper	194
Bestiary|Monstrosities|Yuan-ti anathema	202
Bestiary|Monstrosities|Yuan-ti mind whisperer	204
Bestiary|Monstrosities|Yuan-ti nightmare speaker	205
Bestiary|Monstrosities|Yuan-ti pit master	206
Bestiary|Oozes|Slithering tracker	191
Bestiary|Plants|Thorny	197
Bestiary|Plants|Vegepygmy	196
Bestiary|Plants|Vegepygmy chief	197
Bestiary|Plants|Wood woad	198
Bestiary|Undead|Alhoon	172
Bestiary|Undead|Bodak	127
Bestiary|Undead|Gnoll witherling	155
Bestiary|Undead|Mind flayer lich (alhoon variant)	172
Bestiary|Undead|Spawn of Kyuss	192
