entry	idx	idx_text	page
Illusionist	6.1.12	Nonplayer Characters|Humanoids|Illusionist	214
Assorted Beasts	5	Assorted Beasts	207
Nonplayer Characters	6	Nonplayer Characters	209
Monster Lists	7	Monster Lists	221
Kraken priest	6.1.13	Nonplayer Characters|Humanoids|Kraken priest	215
Martial arts adept	6.1.14	Nonplayer Characters|Humanoids|Martial arts adept	216
Master thief	6.1.15	Nonplayer Characters|Humanoids|Master thief	216
Necromancer	6.1.16	Nonplayer Characters|Humanoids|Necromancer	217
Swashbuckler	6.1.17	Nonplayer Characters|Humanoids|Swashbuckler	217
War priest	6.1.18	Nonplayer Characters|Humanoids|War priest	218
Warlock of the archfey	6.1.19	Nonplayer Characters|Humanoids|Warlock of the archfey	219
Warlock of the fiend	6.1.20	Nonplayer Characters|Humanoids|Warlock of the fiend	219
Warlock of the Great Old One	6.1.21	Nonplayer Characters|Humanoids|Warlock of the Great Old One	220
Warlord	6.1.22	Nonplayer Characters|Humanoids|Warlord	220
Transmuter	3.8.1	Character Races|Humanoids|Transmuter	118
Death kiss	4.3.1	Bestiary|Aberrations|Death kiss	124
Elder brain	4.3.4	Bestiary|Aberrations|Elder brain	174
Gauth	4.3.2	Bestiary|Aberrations|Gauth	125
Gazer	4.3.3	Bestiary|Aberrations|Gazer	126
Mindwitness	4.3.6	Bestiary|Aberrations|Mindwitness	176
Morkoth	4.3.7	Bestiary|Aberrations|Morkoth	178
Neogi	4.3.9	Bestiary|Aberrations|Neogi	180
Neogi hatchling	4.3.8	Bestiary|Aberrations|Neogi hatchling	179
Neogi master	4.3.10	Bestiary|Aberrations|Neogi master	180
Neothelid	4.3.11	Bestiary|Aberrations|Neothelid	181
Ulitharid	4.3.5	Bestiary|Aberrations|Ulitharid	175
Brontosaurus	4.6.3	Bestiary|Beasts|Brontosaurus	139
Cranium rat	4.6.1	Bestiary|Beasts|Cranium rat	133
Deinonychus	4.6.4	Bestiary|Beasts|Deinonychus	139
Dimetrodon	4.6.5	Bestiary|Beasts|Dimetrodon	139
Hadrosaurus	4.6.6	Bestiary|Beasts|Hadrosaurus	140
Quetzalcoatlus	4.6.7	Bestiary|Beasts|Quetzalcoatlus	140
Stegosaurus	4.6.8	Bestiary|Beasts|Stegosaurus	140
Swarm of cranium rats	4.6.2	Bestiary|Beasts|Swarm of cranium rats	133
Velociraptor	4.6.9	Bestiary|Beasts|Velociraptor	140
Ki-rin	4.11.1	Bestiary|Celestials|Ki-rin	163
Guard drake	4.10.1	Bestiary|Dragons|Guard drake	158
Flail snail	4.8.1	Bestiary|Elementals|Flail snail	144
Annis hag	4.5.4	Bestiary|Fey|Annis hag	159
Bheur hag	4.5.5	Bestiary|Fey|Bheur hag	160
Boggle	4.5.1	Bestiary|Fey|Boggle	128
Darkling	4.5.2	Bestiary|Fey|Darkling	134
Darkling elder	4.5.3	Bestiary|Fey|Darkling elder	134
Korred	4.5.6	Bestiary|Fey|Korred	168
Meenlock	4.5.7	Bestiary|Fey|Meenlock	170
Quickling	4.5.8	Bestiary|Fey|Quickling	187
Redcap	4.5.9	Bestiary|Fey|Redcap	188
Yeth hound	4.5.10	Bestiary|Fey|Yeth hound	201
Babau	4.2.2	Bestiary|Fiends|Babau	136
Barghest	4.2.1	Bestiary|Fiends|Barghest	123
Devourer	4.2.5	Bestiary|Fiends|Devourer	138
Draegloth	4.2.6	Bestiary|Fiends|Draegloth	141
Maw demon	4.2.3	Bestiary|Fiends|Maw demon	137
Shoosuva	4.2.4	Bestiary|Fiends|Shoosuva	137
Tanarukk	4.2.7	Bestiary|Fiends|Tanarukk	186
Vargouille	4.2.8	Bestiary|Fiends|Vargouille	195
Cloud giant smiling one	4.9.1	Bestiary|Giants|Cloud giant smiling one	146
Fire giant dreadnought	4.9.2	Bestiary|Giants|Fire giant dreadnought	147
Frost giant everlasting one	4.9.3	Bestiary|Giants|Frost giant everlasting one	148
Mouth of Grolantor	4.9.4	Bestiary|Giants|Mouth of Grolantor	149
Stone giant dreamwalker	4.9.5	Bestiary|Giants|Stone giant dreamwalker	150
Storm giant quintessent	4.9.6	Bestiary|Giants|Storm giant quintessent	151
Deep scion	4.7.1	Bestiary|Humanoids|Deep scion	135
Firenewt	4.7.2	Bestiary|Humanoids|Firenewt	142
Firenewt warlock of Imix	4.7.3	Bestiary|Humanoids|Firenewt warlock of Imix	143
Flind	4.7.4	Bestiary|Humanoids|Flind	153
Gnoll flesh gnawer	4.7.5	Bestiary|Humanoids|Gnoll flesh gnawer	154
Gnoll hunter	4.7.6	Bestiary|Humanoids|Gnoll hunter	154
Grung	4.7.7	Bestiary|Humanoids|Grung	156
Grung elite warrior	4.7.8	Bestiary|Humanoids|Grung elite warrior	157
Grung wildling	4.7.9	Bestiary|Humanoids|Grung wildling	157
Hobgoblin devastator	4.7.10	Bestiary|Humanoids|Hobgoblin devastator	161
Hobgoblin Iron Shadow	4.7.11	Bestiary|Humanoids|Hobgoblin Iron Shadow	162
Kobold dragonshield	4.7.12	Bestiary|Humanoids|Kobold dragonshield	165
Kobold inventor	4.7.13	Bestiary|Humanoids|Kobold inventor	166
Kobold scale sorcerer	4.7.14	Bestiary|Humanoids|Kobold scale sorcerer	167
Nilbog	4.7.15	Bestiary|Humanoids|Nilbog	182
Orc Blade of Ilneval	4.7.16	Bestiary|Humanoids|Orc Blade of Ilneval	183
Orc Claw of Luthic	4.7.17	Bestiary|Humanoids|Orc Claw of Luthic	183
Orc Hand of Yurtrus	4.7.18	Bestiary|Humanoids|Orc Hand of Yurtrus	184
Orc Nurtured One of Yurtrus	4.7.19	Bestiary|Humanoids|Orc Nurtured One of Yurtrus	184
Orc Red Fang of Shargaas	4.7.20	Bestiary|Humanoids|Orc Red Fang of Shargaas	185
Sea spawn	4.7.21	Bestiary|Humanoids|Sea spawn	189
Xvart	4.7.22	Bestiary|Humanoids|Xvart	200
Xvart warlock of Raxivort	4.7.23	Bestiary|Humanoids|Xvart warlock of Raxivort	200
Yuan-ti broodguard	4.7.24	Bestiary|Humanoids|Yuan-ti broodguard	203
Banderhobb	4.1.1	Bestiary|Monstrosities|Banderhobb	122
Catoblepas	4.1.2	Bestiary|Monstrosities|Catoblepas	129
Cave fisher	4.1.3	Bestiary|Monstrosities|Cave fisher	130
Chitine	4.1.4	Bestiary|Monstrosities|Chitine	131
Choldrith	4.1.5	Bestiary|Monstrosities|Choldrith	132
Froghemoth	4.1.7	Bestiary|Monstrosities|Froghemoth	145
Giant strider	4.1.6	Bestiary|Monstrosities|Giant strider	143
Girallon	4.1.8	Bestiary|Monstrosities|Girallon	152
Leucrotta	4.1.9	Bestiary|Monstrosities|Leucrotta	169
Shadow mastiff	4.1.10	Bestiary|Monstrosities|Shadow mastiff	190
Tlincalli	4.1.11	Bestiary|Monstrosities|Tlincalli	193
Trapper	4.1.12	Bestiary|Monstrosities|Trapper	194
Yuan-ti anathema	4.1.13	Bestiary|Monstrosities|Yuan-ti anathema	202
Yuan-ti mind whisperer	4.1.14	Bestiary|Monstrosities|Yuan-ti mind whisperer	204
Yuan-ti nightmare speaker	4.1.15	Bestiary|Monstrosities|Yuan-ti nightmare speaker	205
Yuan-ti pit master	4.1.16	Bestiary|Monstrosities|Yuan-ti pit master	206
Slithering tracker	4.12.1	Bestiary|Oozes|Slithering tracker	191
Thorny	4.13.2	Bestiary|Plants|Thorny	197
Vegepygmy	4.13.1	Bestiary|Plants|Vegepygmy	196
Vegepygmy chief	4.13.3	Bestiary|Plants|Vegepygmy chief	197
Wood woad	4.13.4	Bestiary|Plants|Wood woad	198
Alhoon	4.4.3	Bestiary|Undead|Alhoon	172
Bodak	4.4.1	Bestiary|Undead|Bodak	127
Gnoll witherling	4.4.2	Bestiary|Undead|Gnoll witherling	155
Mind flayer lich (alhoon variant)	4.4.4	Bestiary|Undead|Mind flayer lich (alhoon variant)	172
Spawn of Kyuss	4.4.5	Bestiary|Undead|Spawn of Kyuss	192
